iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7
0,0.04574638864168859,0.018398142220039538,3.367982352618128,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263
1,0.04676502263885925,0.01839809109887644,4.990380859002471,0.04874299736899457,9.999999999999159e-07,1.2426516371461083,1.2426516371456255,1.242651637145039,1.2426516371442577,1.2426516371441176,1.242651637143332,1.2426516371445557,1.2426516371447929
2,0.0455454400757143,0.018397028489609214,4.849886586889625,0.04643526275446634,2.097999999999987e-05,1.2426983991758878,1.242698392273349,1.2426983825878797,1.242698377415079,1.2426977462252797,1.2426980024837064,1.2426973411307838,1.2426970909716775
3,0.04684399717071197,0.0183949620115311,1.6706616240553558,0.04677029702545949,4.095999999999993e-05,1.2427897295936952,1.2427897166707076,1.2427896932902571,1.242789685400682,1.2427870762758793,1.2427878253018751,1.2427856959547658,1.2427850709964625
4,0.048005552838703086,0.018391881338301275,1.492635475937277,0.04695817937118007,6.0939999999999996e-05,1.2429255752098727,1.2429256539055047,1.2429256649343465,1.2429256790285013,1.2429206996695985,1.2429222785961391,1.2429177441221038,1.2429159781807217
5,0.046606662012001296,0.018387783438680454,1.5199068142101169,0.04714477121271679,8.091999999999984e-05,1.243106021861118,1.2431060956817104,1.2431061438413082,1.2431061991890369,1.2430993819407752,1.243101533053203,1.2430938039907684,1.2430902531233539
6,0.0459989026641372,0.018382672357871502,1.535777835175395,0.04705940244619577,0.0001008999999999999,1.2433310574311371,1.243331168511372,1.2433312585297143,1.2433313441009666,1.2433221810893293,1.243325351181544,1.243313604010105,1.2433078881517543
7,0.046815873098434366,0.018376572267681003,1.5173609438352287,0.047266868068701,0.00012087999999999997,1.2436009625275297,1.243601003567563,1.2436011176724027,1.2436012305403839,1.243587530859248,1.2435914247112703,1.2435743936309966,1.243566501670287
8,0.04609769134465842,0.018369504661562362,1.4706997880712152,0.045882408783662086,0.00014085999999999992,1.243915296215146,1.2439152332272347,1.2439154214327592,1.2439156118918944,1.2438952178138534,1.2438977008702468,1.2438742524736408,1.2438644570928372
9,0.04125277223514441,0.018361446836815776,1.5342656327411532,0.044798938826573854,0.00016083999999999998,1.2442734631789736,1.244273111970791,1.244273087631846,1.2442730920020348,1.2442448516263447,1.2442470848462388,1.244218308437977,1.2442070061485415
